nome,genero,nascimento,cpf,cep,estado,cidade,rua,email,telefone,crmv,especialidade
Bevon Hastewell,M,1940-06-07,35267904036,72304517,PE,Olinda,Dom Lustosa,bhastewell0@howstuffworks.com,81913088425,23515,Anestesia
Kerrie Gladtbach,F,1934-02-02,32640632084,44250408,PE,Paulista,Rua Francisco da Cunha,kgladtbach1@exblog.jp,81922242943,26943,Fisioterapia Veterinária
Ravi Towne,M,1943-04-21,34106081628,93235885,PE,Camaragibe,Osvaldo Freire,rtowne2@theglobeandmail.com,81928085725,61531,Vigilância e Inspeção
Justine Dumbelton,M,1933-02-17,51917540995,90724933,PE,Recife,Acaiaca,jdumbelton3@ox.ac.uk,81991563453,68388,Anestesia
Leela Greenrod,F,2004-10-25,32467308923,7482591,PE,Camaragibe,Avenida Caxangá,lgreenrod4@wikispaces.com,81993665392,38147,Fisioterapia Veterinária
Bryan Jakubowski,F,1954-11-24,23257123951,86987679,PE,Camaragibe,Vicente de Carvalho,bjakubowski5@timesonline.co.uk,81987054190,39431,Agronegócio e Produção Animal
Alexio Elgie,F,2017-03-20,57887148401,4617547,PE,Paulista,Vicente de Carvalho,aelgie6@telegraph.co.uk,81977097549,61798,Cuidado com Animais Silvestres
Lyn Kidby,M,1973-12-05,91365552365,82563515,PE,Jaboatão dos Guararapes,Osvaldo Freire,lkidby7@fc2.com,81999187321,30272,Laboratorial
Mendy Frankes,M,1988-06-05,35603645400,96914649,PE,Carpina,Avenida Engenheiro Domingos Ferreira,mfrankes8@msn.com,81960792412,82542,Agronegócio e Produção Animal
Sasha Mitchelhill,M,1951-10-04,20112977316,29792778,PE,Abreu e Lima,Visconde de Itaboraí,smitchelhill9@oaic.gov.au,81983669395,50607,Clínica e Cirúrgica
Maryjane Unsworth,F,2010-01-19,87768690948,26725565,PE,Abreu e Lima,Dom Lustosa,munswortha@shop-pro.jp,81922931209,43945,Vigilância e Inspeção
Perl Docharty,M,1938-04-09,64092758787,19032761,PE,Jaboatão dos Guararapes,Avenida Caxangá,pdochartyb@lulu.com,81961501144,62030,Laboratorial
Brok Kermott,F,2019-02-16,20171585570,10719866,PE,Recife,Carlos Drummond,bkermottc@pen.io,81941134336,79033,Oftalmologia Veterinária
Emilie Manchester,M,2005-02-05,53845098338,28907050,PE,Abreu e Lima,Sertanópolis,emanchesterd@seattletimes.com,81954732707,6522,Oftalmologia Veterinária
Quill Downing,F,2012-01-07,92375775904,58031314,PE,Abreu e Lima,Dom Lustosa,qdowninge@dedecms.com,81957340039,36571,Clínica e Cirúrgica
Willow Synke,M,2012-11-24,21940935719,57746625,PE,Olinda,Osvaldo Freire,wsynkef@unblog.fr,81905889273,52305,Anestesia
Violante Sallinger,M,1988-10-06,27058860105,68612219,PE,Abreu e Lima,Sertanópolis,vsallingerg@dropbox.com,81914179838,16705,Cuidado com Animais Silvestres
Ambrosi Filimore,F,1969-09-04,93454201090,47569776,PE,Carpina,Vicente de Carvalho,afilimoreh@pinterest.com,81943265862,43812,Agronegócio e Produção Animal
